feature_name,pairs_count,avg_max_corr,max_corr,top_horizons
reg_mean_720,28,0.9998,1.0,h15
agg_mean_360,28,0.9998,1.0,h15
agg_mean_720,28,0.9998,1.0,h15
reg_mean_360,28,0.9998,1.0,h15
reg_first_180,28,0.9997,1.0,h15
reg_mean_45,28,0.9997,1.0,"h105,h90"
close_idx,28,0.9997,1.0,h105
reg_max_360,28,0.9997,1.0,"h15,h30,h45"
close_lag_90,28,0.9997,1.0,"h30,h45"
reg_max_90,28,0.9997,1.0,"h105,h75,h90"
agg_mean_180,28,0.9997,1.0,"h45,h60"
agg_min_180,28,0.9997,1.0,"h45,h60,h75"
reg_const_term_90,28,0.9997,1.0,"h30,h45,h60"
reg_min_180,28,0.9997,1.0,"h45,h60,h75"
reg_min_90,28,0.9997,1.0,"h105,h75,h90"
agg_mean_90,28,0.9997,1.0,"h75,h90"
reg_ci_upper_720,28,0.9997,1.0,h105
reg_ci_lower_90,28,0.9997,1.0,h105
reg_mean_90,28,0.9997,1.0,"h75,h90"
reg_ci_upper_360,28,0.9997,1.0,h105
high_idx,28,0.9997,1.0,h105
reg_ci_lower_720,28,0.9997,1.0,h105
low_lag_90,28,0.9997,1.0,"h30,h45"
agg_min_90,28,0.9997,1.0,"h105,h75,h90"
agg_max_360,28,0.9997,1.0,"h15,h30,h45"
reg_ci_upper_1440,28,0.9997,1.0,h105
reg_ci_upper_90,28,0.9997,1.0,h105
reg_ci_upper_45,28,0.9997,1.0,h105
reg_first_90,28,0.9997,1.0,"h30,h45,h60"
low_idx,28,0.9997,1.0,h105
open_lag_90,28,0.9997,1.0,"h30,h45"
agg_max_90,28,0.9997,1.0,"h105,h75,h90"
agg_max_180,28,0.9997,1.0,"h45,h60,h75"
high_lag_45,28,0.9997,1.0,"h75,h90"
high_lag_90,28,0.9997,1.0,"h30,h45"
reg_ci_upper_2880,28,0.9997,1.0,h105
reg_ci_lower_180,28,0.9997,1.0,h105
reg_first_45,28,0.9997,1.0,"h75,h90"
reg_mean_180,28,0.9997,1.0,"h45,h60"
reg_min_45,28,0.9997,1.0,"h105,h90"
reg_ci_lower_360,28,0.9997,1.0,h105
agg_min_45,28,0.9997,1.0,"h105,h90"
sma_45,28,0.9997,1.0,"h105,h90"
agg_mean_45,28,0.9997,1.0,"h105,h90"
close_lag_45,28,0.9997,1.0,"h75,h90"
reg_max_180,28,0.9997,1.0,"h45,h60,h75"
agg_max_45,28,0.9997,1.0,"h105,h90"
open_idx,28,0.9997,1.0,h105
sma_90,28,0.9997,1.0,"h75,h90"
reg_ci_lower_2880,28,0.9997,1.0,h105
reg_ci_upper_180,28,0.9997,1.0,h105
open_lag_45,28,0.9997,1.0,"h60,h75,h90"
reg_ci_lower_45,28,0.9997,1.0,h105
reg_const_term_180,28,0.9997,1.0,h15
reg_max_45,28,0.9997,1.0,"h105,h90"
reg_ci_lower_1440,28,0.9997,1.0,h105
low_lag_45,28,0.9997,1.0,"h75,h90"
reg_const_term_45,28,0.9997,1.0,"h75,h90"
agg_mean_1440,28,0.9996,1.0,h15
reg_const_term_360,28,0.9996,1.0,h15
agg_max_720,28,0.9996,1.0,h15
agg_min_720,28,0.9996,1.0,h15
reg_mean_1440,28,0.9996,1.0,h15
reg_first_360,28,0.9996,1.0,h15
reg_max_720,28,0.9996,1.0,h15
reg_min_720,28,0.9996,1.0,h15
agg_min_360,28,0.9996,1.0,"h15,h30,h45"
reg_min_360,28,0.9996,1.0,"h15,h30,h45"
reg_const_term_720,28,0.9994,0.9999,h15
reg_first_720,28,0.9994,0.9999,h15
agg_max_1440,28,0.9993,1.0,h15
agg_min_1440,28,0.9993,0.9999,h15
reg_max_1440,28,0.9993,1.0,h15
reg_min_1440,28,0.9993,0.9999,h15
agg_mean_2880,28,0.9992,0.9999,h15
reg_mean_2880,28,0.9992,0.9999,h15
agg_sum_45,28,0.9991,0.9999,"h105,h60,h75"
agg_min_2880,28,0.9987,0.9999,h15
reg_min_2880,28,0.9987,0.9999,h15
reg_first_1440,28,0.9986,0.9999,h15
agg_max_2880,28,0.9986,0.9999,h15
reg_max_2880,28,0.9986,0.9999,h15
reg_const_term_1440,28,0.9986,0.9999,h15
agg_sum_90,28,0.9984,0.9999,"h30,h45,h60"
reg_const_term_2880,28,0.9971,0.9997,h15
agg_sum_180,28,0.9971,0.9999,"h15,h30,h45"
reg_first_2880,28,0.9971,0.9997,h15
agg_sum_360,28,0.9945,1.0,"h15,h30"
agg_sum_720,28,0.9896,1.0,h15
agg_sum_1440,28,0.9808,0.9999,h15
agg_sum_2880,28,0.9663,0.9998,"h105,h15"
spread_lag_10,28,0.7953,0.9996,"h105,h15,h30"
spread_lag_15,28,0.7953,0.9996,"h105,h15,h30"
spread_lag_2,28,0.7953,0.9996,"h105,h15,h30"
spread_lag_5,28,0.7953,0.9996,"h105,h15,h30"
spread_lag_1,28,0.7953,0.9996,"h105,h15,h30"
spread_lag_30,28,0.7953,0.9996,"h105,h15,h30"
spread_lag_3,28,0.7953,0.9996,"h105,h15,h30"
spread_lag_45,28,0.7952,0.9996,"h105,h15,h30"
spread_lag_60,28,0.7952,0.9996,"h105,h15,h30"
