feature_type,full_avg_corr,extreme_avg_corr,lift_pct,full_count,extreme_count
der,0.0091,0.0305,235.2,405,420
div,0.0236,0.0786,233.1,135,140
mrt,0.0174,0.0538,209.2,270,280
align,0.0097,0.0271,179.4,1148,1148
mom,0.025,0.061,144.0,1134,1176
vol,0.0862,0.156,81.0,810,810
corr,0.0568,0.1021,79.8,1344,1344
rev,0.0131,0.0214,63.4,270,280
other,0.1985,0.2716,36.8,4825,4494
cov,0.2653,0.3299,24.3,25459,26208
agg,0.4801,0.5562,15.9,1764,1764
reg,0.2324,0.2625,13.0,6777,7028
lag,0.5065,0.5471,8.0,594,616
